Movie,Num_of_tweets(before),Num_of_tweets(after),Num_of_Hashtags(before),Num_of_Hashtags(after),Sentiment(before),Sentiment(after)
Hereditary,187,187,0.3422459893048128,0.2887700534759358,1.1229946524064172,1.0160427807486632
Slender Man,179,197,0.3687150837988827,0.30456852791878175,1.1284916201117319,1.2030456852791878
A Quiet Place,200,200,0.515,0.53,1.52,1.695
Suspiria,162,200,0.9382716049382716,0.48,1.3333333333333333,1.08
The Nun,198,200,0.5202020202020202,0.395,1.404040404040404,0.92
The predator,164,163,1.146341463414634,0.8343558282208589,1.1097560975609757,1.030674846625767
